ans,errr,ans2,errr2,ans3,errr3,Analytic
2,0,2,0,2,0,2.0
1.97000000000000,-0.000297980494071259,1.97030000000000,2.01950592870759e-6,1.97029800000000,1.95059288721211e-8,1.9702979804940712
1.94060000000000,-0.000584194543507000,1.94118806000000,3.86545649311287e-6,1.94118413920267,-5.53408401327005e-8,1.9411841945435069
1.91178800000000,-0.000858840431692931,1.91265253641200,5.69598030719654e-6,1.91264677166760,-6.87640910879139e-8,1.9126468404316928
1.88355224000000,-0.00112232281460711,1.88468201619104,7.45337643537347e-6,1.88467448205955,-8.07550526449319e-8,1.8846745628146069
1.85588119520000,-0.00137497439077938,1.85726531227046,9.14267968044058e-6,1.85725608108213,-8.85086468560559e-8,1.8572561695907792
1.82876357129600,-0.00161712215961485,1.83039145908750,1.07656318899529e-5,1.83038060100193,-9.24536831536926e-8,1.8303806934556146
1.80218829987008,-0.00184908215574153,1.80404970819757,1.23261717506207e-5,1.80403729126129,-9.07645294478954e-8,1.8040373820258213
1.77614453387268,-0.00207117732731921,1.77822952397526,1.38127752624673e-5,1.77821561417793,-9.70220674911815e-8,1.7782157111999974
1.75062164319522,-0.00228370058915028,1.75292057940055,1.52356161748912e-5,1.75290524072972,-1.03054653477486e-7,1.752905343784375
1.72560921033132,-0.00248694455507525,1.72811275192842,1.65970420236139e-5,1.72809604642295,-1.08463443337925e-7,1.7280961548863953
1.70109702612469,-0.00268119512620446,1.70379611944024,1.78981893381724e-5,1.70377810724238,-1.14008515739172e-7,1.703778221250898
1.67707508560220,-0.00286672899136264,1.67996095627532,1.91416817572065e-5,1.67994169568151,-1.18912055535603e-7,1.6799418145935623
1.65353358389016,-0.00304380954347550,1.65659772934107,2.03359074368858e-5,1.65657727685142,-1.16582212550398e-7,1.6565773934336312
1.63046291221235,-0.00321269655569156,1.63369709430012,2.14855320708196e-5,1.63367550466672,-1.04101319342575e-7,1.6336756087680442
1.60785365396811,-0.00337365109817700,1.61124989183297,2.25867666900914e-5,1.61122721810698,-8.69592984287237e-8,1.6112273050662826
1.58569658088874,-0.00352693077140276,1.58924714397468,2.36323145335060e-5,1.58922343755218,-7.41079710930848e-8,1.5892235116601463
1.56398264927097,-0.00367278807832272,1.56768005052398,2.46131746897138e-5,1.56765536119073,-7.61585661201991e-8,1.5676554373492915
1.54270299628555,-0.00381145730303944,1.54653998552361,2.55319350175309e-5,1.54651436149867,-9.20899214662541e-8,1.5465144535885889
1.52184893635984,-0.00394316481399515,1.52581849381024,2.63926364054701e-5,1.52579198178851,-1.19385321850629e-7,1.5257921011738336
1.50141195763264,-0.00406812823280034,1.50550728763280,2.72017673543790e-5,1.50547993282646,-1.53038985262199e-7,1.505480085865442
1.48138371847999,-0.00418655236378207,1.48559824333767,2.79724938960779e-5,1.48557008951658,-1.81327188597535e-7,1.485570270843771
1.46175604411039,-0.00429863167872924,1.46608339811958,2.87223304629158e-5,1.46605448765070,-1.88138417067663e-7,1.4660546757891184
1.44252092322818,-0.00440458133615462,1.44695494683681,2.94422724775867e-5,1.44692532072257,-1.83841768919280e-7,1.446925504564336
1.42367050476362,-0.00450460764431782,1.42820523888944,3.01264815092406e-5,1.42817493680517,-1.75602769436622e-7,1.4281751124079356
1.40519709466835,-0.00459891167689164,1.40982677515943,3.07688141967244e-5,1.40979583548984,-1.70855395609237e-7,1.409796006345237
