ans,errr,ans2,errr2,ans3,errr3,Analytic
0,0,0,0,0,0,0.0
0.0100000000000000,3.47070825202841e-7,0.0100000000000000,3.47070825202841e-7,0.00999966666666667,1.37374918697530e-8,0.009999652929174797
0.0199990000333329,1.67817130224124e-6,0.0199980001999882,6.78337957575603e-7,0.0199973338332493,1.19712186968934e-8,0.019997321862030647
0.0299950009665078,4.00817915650192e-6,0.0299920030655108,1.01027815954668e-6,0.0299910044975873,1.17102359684096e-8,0.029990992787351296
0.0399860066635551,7.33149665001209e-6,0.0399800158531772,1.34068627205552e-6,0.0399786864458971,1.12789920042600e-8,0.03997867516690512
0.0499700263758484,1.16423949639149e-5,0.0499600529885115,1.66900762709615e-6,0.0499583946288609,1.06479764588885e-8,0.04995838398088444
0.0599450771169922,1.69323444180677e-5,0.0599301384223874,1.99364981317424e-6,0.0599281535163221,8.74374789933130e-9,0.05992814477257418
0.0699091860157087,2.31939685571281e-5,0.0698883079590893,2.31591193769476e-6,0.0698859994236462,7.37649463733447e-9,0.06988599204715157
0.0798603926397685,3.04155475001622e-5,0.0798326115492062,2.63445693780839e-6,0.0798299828029586,5.71069022625714e-9,0.07982997709226834
0.0897967512841737,3.85848085486667e-5,0.0897611155407524,2.94906512740556e-6,0.0897581704926656,4.01704058905494e-9,0.08975816647562498
0.0997163332169869,4.76872824252961e-5,0.0996719048821431,3.25894758146372e-6,0.0996686479188947,1.98433308673529e-9,0.09966864593456165
0.109617228876434,5.77071703819626e-5,0.109563085270912,3.56356486007348e-6,0.109559521242750,-4.63302091135986e-10,0.10955952170605184
0.119497550013162,6.86282193203686e-5,0.119432785242351,3.86344851008302e-6,0.119428919447569,-2.34627238471230e-9,0.11942892179384137
0.129355431771835,8.04303665311035e-5,0.129279158192579,4.15678727466728e-6,0.129274996360696,-5.04460806460827e-9,0.1292750014053043
0.139189034706565,9.30953059128103e-5,0.139100384330874,4.44493022228043e-6,0.139095932604618,-6.79603440190135e-9,0.13909593940065196
0.148996546725011,0.000106599602060026,0.148894672556508,4.72543355636845e-6,0.148889937472687,-9.65026422661275e-9,0.14888994712295123
0.158776184956384,0.000120922462501311,0.158660262255663,4.99976177970041e-6,0.158655250725051,-1.17688322698317e-8,0.15865526249388298
0.168526197538931,0.000136037575238473,0.168395425014465,5.26505077222406e-6,0.168390144300784,-1.56629089143046e-8,0.1683901599636926
0.178244865322927,0.000151921502251240,0.178098466244543,5.52242386717139e-6,0.178092923942670,-1.98780055749026e-8,0.17809294382067595
0.187930503485595,0.000168550485796448,0.187767726717983,5.77371818391570e-6,0.187761930731487,-2.22683114448063e-8,0.1877619529997986
0.197581463054807,0.000185899394837430,0.197401584008957,6.02034898786186e-6,0.197395542527079,-2.11328902710584e-8,0.19739556365996958
0.207196132338866,0.000203940370703259,0.206998453839776,6.26187161331671e-6,0.206992175313962,-1.66542007129511e-8,0.2069921919681628
0.216772938260097,0.000222641322332712,0.216556791329504,6.49439173905364e-6,0.216550284449613,-1.24881514851349e-8,0.21655029693776476
0.226310347590426,0.000241968419275623,0.226075092143770,6.71297261917170e-6,0.226068365814061,-1.33570900728852e-8,0.22606837917115064
0.235806868087553,0.000261897430549635,0.235551893544792,6.92288778883499e-6,0.235544956859796,-1.37972070712866e-8,0.23554497065700353
0.245261049530776,0.000282398347118462,0.244985775341080,7.12415742218364e-6,0.244978637561475,-1.36221823265892e-8,0.24497865118365747
0.254671484655927,0.000303438902360065,0.254375360736675,7.31498310801992e-6,0.254368031265257,-1.44883104402638e-8,0.2543680457535674
0.264036809989317,0.000324988824992600,0.263719317080217,7.49591589238596e-6,0.263711805438064,-1.57262604605357e-8,0.26371182116432434
0.273355706580962,0.000347018074880800,0.273016356514454,7.66800837342929e-6,0.273008672317391,-1.61886894445296e-8,0.27300868850608084
0.282626900637783,0.000369494514238178,0.282265236527251,7.83040370627708e-6,0.282257389462689,-1.66608564167170e-8,0.28225740612354516
0.291849164057811,0.000392385667796591,0.291464760405426,7.98201541080124e-6,0.291456760209664,-1.81803505583389e-8,0.2914567783900149
0.301021314866785,0.000415661790124977,0.300613777593121,8.12451646037271e-6,0.300605634029201,-1.90474598871226e-8,0.3006056530766605
0.310142217558878,0.000439291359132676,0.309711183956705,8.25775696028375e-6,0.309702906792866,-1.94068790482227e-8,0.30970292619974515
0.319210783343566,0.000463242043185375,0.318755921958472,8.38065809127819e-6,0.318747520947295,-2.03530864939516e-8,0.318747541300381
0.328225970300969,0.000487482880420720,0.327746980741675,8.49332112606849e-6,0.327738465599959,-2.18205893354195e-8,0.3277384874205486
0.337186783448217,0.000511984500847551,0.336683396129668,8.59718229895279e-6,0.336674776519106,-2.24282633021211e-8,0.3366747989473691
0.346092274719669,0.000536715662020515,0.345564250542137,8.69148448828794e-6,0.345555536050815,-2.30068333273437e-8,0.34555555905764856
0.354941542864007,0.000561645710234482,0.354388672831571,8.77567779933308e-6,0.354379872956358,-2.41974145165358e-8,0.3543798971537721
0.363733733261397,0.000586747611410865,0.363155838043323,8.85239333658916e-6,0.363146962173156,-2.34768306461852e-8,0.3631469856499864
0.372468037664119,0.000611992333518108,0.371864967102700,8.92177209960154e-6,0.371856024502818,-2.08277828317449e-8,0.3718560453306004
0.381143693864143,0.000637350395196579,0.380515326432685,8.98296373935681e-6,0.380506326229810,-1.72391362851521e-8,0.38050634346894613
0.389759985291312,0.000662791986624833,0.389106227505944,9.03420125675236e-6,0.389097178674437,-1.46302508441387e-8,0.3890971933046874
